Search_ID,Database,Date_run,Searcher,Exact_query_pasted,Filters_applied,Records_returned,Records_exported,Export_file_name,Screenshot_file_name,Notes,Proof_Status
S01,Scopus,,,"TITLE-ABS-KEY((""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"") AND (""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model"")) AND PUBYEAR > 2009 AND PUBYEAR < 2027",Article; Conference Paper; English; 2010-2026-05-31,,,,,,Pending
S02,Web of Science Core Collection,,,"TS=((""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"") AND (""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model""))",Article; Proceedings Paper; English; 2010-2026-05-31,,,,,,Pending
S03,IEEE Xplore,,,"(""(""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"")"" AND ""(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model"")"")",Journals + conferences; 2010-2026-05-31,,,,,,Pending
S04,ScienceDirect,,,"(""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"") AND (""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model"")",Research articles; 2010-2026-05-31,,,,,,Pending
S05,Optica Publishing Group,,,"(""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"") AND (""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model"")",Journals + conference papers; 2010-2026-05-31,,,,,,Pending
S06,SPIE Digital Library,,,"(""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"") AND (""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model"")",Proceedings + journals; 2010-2026-05-31,,,,,,Pending
S07,SpringerLink,,,"(""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"") AND (""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model"")",Article + Conference Paper; 2010-2026-05-31,,,,,,Pending
S08,Wiley Online Library,,,"(""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"") AND (""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model"")",Article; 2010-2026-05-31,,,,,,Pending
S09,Google Scholar,,,"allintitle: photonic crystal fiber machine learning OR ""photonic crystal fiber"" ""deep learning""",First 200 results max; 2010-2026-05-31; only for citation chasing,,,,,,Pending
S10,OpenAlex / Crossref,,,"(""photonic crystal fiber*"" OR ""photonic crystal fibre*"" OR PCF OR ""microstructured optical fiber*"" OR ""microstructured optical fibre*"" OR ""holey fiber*"" OR ""holey fibre*"" OR ""photonic bandgap fiber*"" OR ""photonic bandgap fibre*"" OR ""hollow-core fiber*"" OR ""hollow core fiber*"" OR ""hollow-core fibre*"" OR ""anti-resonant fiber*"" OR ""anti resonant fiber*"" OR ""antiresonant fiber*"" OR ""nested anti-resonant nodeless fiber*"" OR ""NANF"" OR ""Kagome fiber*"" OR ""Kagome fibre*"" OR ""porous-core fiber*"" OR ""porous core fiber*"" OR ""D-shaped PCF"" OR ""SPR-PCF"" OR ""PCF-SPR"") AND (""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR ""neural network*"" OR ANN OR DNN OR CNN OR LSTM OR ""long short-term memory"" OR transformer* OR ""vision transformer"" OR ViT OR ""support vector regression"" OR SVR OR ""random forest"" OR XGBoost OR LightGBM OR ""Gaussian process"" OR GPR OR ""Bayesian optimization"" OR ""surrogate model*"" OR ""inverse design"" OR ""generative model*"" OR GAN OR VAE OR ""variational autoencoder"" OR ""diffusion model"" OR DDPM OR ""score-based generative"" OR ""physics-informed neural network"" OR PINN OR ""reinforcement learning"" OR ""active learning"" OR ""federated learning"" OR ""foundation model"")",Metadata verification; not primary screening unless protocol updated,,,,,,Pending
