label,replace by
photonic crystal fibers,photonic crystal fiber
photonic crystal fibre,photonic crystal fiber
photonic crystal fibres,photonic crystal fiber
pcf,photonic crystal fiber
microstructured optical fiber,photonic crystal fiber
microstructured optical fibre,photonic crystal fiber
holey fiber,photonic crystal fiber
holey fibre,photonic crystal fiber
hollow core fiber,hollow-core fiber
hollow-core fibre,hollow-core fiber
anti resonant fiber,anti-resonant fiber
antiresonant fiber,anti-resonant fiber
machine-learning,machine learning
deep-learning,deep learning
artificial neural network,neural network
artificial neural networks,neural network
support vector regression,SVR
random forest regression,random forest
surface plasmon resonance,SPR
terahertz,THz
finite element method,FEM
finite-element method,FEM
