Ref_ID,Title,Authors,Year,Journal,DOI_in_manuscript,DOI_found,Publisher_URL,Crossref/OpenAlex_Status,Title_similarity,Metadata_match_notes,Verification_Decision
AOP-ANN-2023,Artificial neural networks for photonic applications—from algorithms to implementation: tutorial,Pedro Freire; Egor Manuylovich; Jaroslaw E. Prilepsky; Sergei K. Turitsyn,2023,Advances in Optics and Photonics,10.1364/AOP.484119,10.1364/AOP.484119,https://opg.optica.org/aop/abstract.cfm?uri=aop-15-3-739,Verified,1.0,Invited/tutorial review; strong model for review-plus-tutorial style; broad ML photonics coverage,Verified
AOP-DL-2022,"At the intersection of optics and deep learning: statistical inference, computing, and inverse design",Deniz Mengu; Md Sadman Sakib Rahman; Yi Luo; Jiajun Li; Aydogan Ozcan,2022,Advances in Optics and Photonics,10.1364/AOP.450345,10.1364/AOP.450345,https://opg.optica.org/aop/fulltext.cfm?uri=aop-14-2-209,Verified,1.0,Top-tier AOP example for optics + deep learning + inverse design framing,Verified
NPHOT-DL-2021,Deep learning for the design of photonic structures,Wei Ma; Zhaocheng Liu; Zakarya A. Kudyshev; Alexandra Boltasseva; Wenshan Cai; Yongmin Liu,2021,Nature Photonics,10.1038/s41566-020-0685-y,10.1038/s41566-020-0685-y,https://www.nature.com/articles/s41566-020-0685-y,Verified,1.0,High-impact review model for DL photonic-structure design; compact but authoritative,Verified
NPHOT-ULTRAFAST-2021,Machine learning and applications in ultrafast photonics,Goëry Genty; Lauri Salmela; John M. Dudley; Daniel Brunner; Alexey Kokhanovskiy; Sergei Kobtsev; Sergei K. Turitsyn,2021,Nature Photonics,10.1038/s41566-020-00716-4,10.1038/s41566-020-00716-4,https://www.nature.com/articles/s41566-020-00716-4,Verified,1.0,"Review model for ML in a subfield of photonics, with challenges/future research",Verified
NREV-MAT-2021,Deep neural networks for the evaluation and design of photonic devices,Jiang; Chen; Fan,2021,Nature Reviews Materials,10.1038/s41578-020-00260-1,10.1038/s41578-020-00260-1,https://www.nature.com/articles/s41578-020-00260-1,Verified from manuscript seed; final check in Zotero,,Benchmark review model for photonic inverse design and neural surrogates,Verified from manuscript seed; final check in Zotero
AOP-PCFSPR-2017,"Recent advances in plasmonic photonic crystal fibers: design, fabrication and applications",Dora Juan Juan Hu; Ho Pui Ho,2017,Advances in Optics and Photonics,10.1364/AOP.9.000257,10.1364/AOP.9.000257,https://opg.optica.org/aop/abstract.cfm?uri=aop-9-2-257,Verified,1.0,Directly relevant top-tier PCF review model; includes fabrication/application tables,Verified
AOP-HCG-2018,"Recent advances in high-contrast metastructures, metasurfaces, and photonic crystals",Pengfei Qiao; Weijian Yang; Connie J. Chang-Hasnain,2018,Advances in Optics and Photonics,10.1364/AOP.10.000180,10.1364/AOP.10.000180,https://opg.optica.org/aop/abstract.cfm?uri=aop-10-1-180,Verified,1.0,AOP model for photonic crystals/metasurfaces; useful for taxonomy and figures,Verified
AOP-PCSEL-2023,High-power and high-beam-quality photonic-crystal surface-emitting lasers: a tutorial,Susumu Noda; Takuya Inoue; Masahiro Yoshida; John Gelleta; Menaka De Zoysa; Kenji Ishizaki,2023,Advances in Optics and Photonics,10.1364/AOP.502863,10.1364/AOP.502863,https://opg.optica.org/aop/fulltext.cfm?uri=aop-15-4-977,Verified,1.0,AOP tutorial model; strong structure for physics-to-device-engineering narrative,Verified
OPTICA-DCS-2016,Dual-comb spectroscopy,Ian Coddington; Nathan Newbury; William Swann,2016,Optica,10.1364/OPTICA.3.000414,10.1364/OPTICA.3.000414,https://opg.optica.org/abstract.cfm?uri=optica-3-4-414,Verified,1.0,Optica review article model; clean review structure and figures,Verified
OPTICA-MOIRE-2026,Moiré nanophotonics: from fundamental concepts to device engineering,Haoning Tang; Xueqi Ni; Anastasiia Zalogina; Hugo Quard; Nathan Coste; Igor Aharonovich,2026,Optica,10.1364/OPTICA.591243,10.1364/OPTICA.591243,https://opg.optica.org/optica/abstract.cfm?uri=optica-13-6-1007,Verified,1.0,"Recent Optica Review model; good example of physics, fabrication, outlook, and rich figures",Verified
FRONT-MATS-2021,Deep Learning for Photonic Design and Analysis: Principles and Applications,Duan; Wu; Chen; Chen; Yang,2021,Frontiers in Materials,10.3389/fmats.2021.791296,10.3389/fmats.2021.791296,https://www.frontiersin.org/journals/materials/articles/10.3389/fmats.2021.791296/full,Verified,1.0,Open-access review useful for broader photonic DL taxonomy and principles,Verified
IEEE-JSTQE-2017,Photonic-crystal surface-emitting lasers: review and introduction of modulated-photonic crystals,Susumu Noda; K. Kitamura; T. Okino; D. Yasuda; Y. Tanaka,2017,IEEE Journal of Selected Topics in Quantum Electronics,10.1109/JSTQE.2017.2696883,10.1109/JSTQE.2017.2696883,https://doi.org/10.1109/JSTQE.2017.2696883,Verified,1.0,IEEE top-tier tutorial/review style in photonic crystal devices,Verified
IEEE-JPHOT-2026,Photonic Crystal Fiber-Based Optofluidic Platforms for Biomedical Diagnostics: A Comprehensive Review,Y. Kumar et al.,2026,IEEE Photonics Journal,10.1109/JPHOT.2026.3686400,10.1109/JPHOT.2026.3686400,https://doi.org/10.1109/JPHOT.2026.3686400,Needs subscription/metadata confirmation,,Directly PCF review comparator; use only if within final search cutoff,Needs subscription/metadata confirmation
PHOTONICS-RES-2021,Deep learning in nano-photonics: inverse design and beyond,Paul R. Wiecha; Arka Majumdar; Arseniy I. Kuznetsov; Andrei E. Miroshnichenko; Daniel Brunner; etc.,2021,Photonics Research,10.1364/PRJ.415960,10.1364/PRJ.415960,https://opg.optica.org/prj/abstract.cfm?uri=prj-9-5-b182,Verify final metadata,,"Strong Optica-family review for deep learning, inverse design, and nanophotonics",Verify final metadata
NPHOT-MOLESKY-2018,Inverse design in nanophotonics,Sean Molesky; Zin Lin; Alexander Y. Piggott; Weiliang Jin; Jelena Vuckovic; Alejandro W. Rodriguez,2018,Nature Photonics,10.1038/s41566-018-0246-9,10.1038/s41566-018-0246-9,https://www.nature.com/articles/s41566-018-0246-9,Verify final metadata,,"Foundational inverse nanophotonics review; important background, not PCF-primary",Verify final metadata
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
,,,,,,,,Pending,,,Needs verification
