Candidate_ID,Manuscript_Ref_No,Corpus_Status,Screening_Status,Inclusion_Decision,Exclusion_Code,Year,Authors,Title,Source_Title,Volume,Issue,Pages,DOI,URL,Database_Source,Document_Type,Language,AI_Method,PCF_Domain,Taxonomy_Branch,Target_Property,Dataset_Size,Simulation_Tool,Performance_R2,RMSE,MAE,Inference_Time_ms,FEM_Baseline_min,Fabrication_Validation,Open_Data,QS_Data,QS_Bench,QS_Hyper,QS_Repro,QS_Valid,QS_Total,Verification_Status,Notes
C0001,1,Background / method / foundational,Not primary corpus,Background only,,1996,"Knight, J. C., Birks, T. A., Russell, P. S. J., & Atkin, D. M.",All-silica single-mode optical fiber with photonic crystal cladding,Optics Letters,21,19,1547-1549,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0002,2,Background / method / foundational,Not primary corpus,Background only,,2003,"Russell, P. S. J.",Photonic crystal fibers,Science,299,5605,358-362,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0003,3,Background / method / foundational,Not primary corpus,Background only,,2003,"Knight, J. C.",Photonic crystal fibres,Nature,424,6950,847-851,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0004,4,Background / method / foundational,Not primary corpus,Background only,,1997,"Birks, T. A., Knight, J. C., & Russell, P. S. J.",Endlessly single-mode photonic crystal fiber,Optics Letters,22,13,961-963,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0005,5,Background / method / foundational,Not primary corpus,Background only,,1999,"Cregan, R. F., et al.",Single-mode photonic band gap guidance of light in air,Science,285,5433,1537-1539,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0006,6,Background / method / foundational,Not primary corpus,Background only,,2011,"Joannopoulos, J. D., Johnson, S. G., Winn, J. N., & Meade, R. D.",Photonic Crystals: Molding the Flow of Light (2nd ed.),Princeton University Press.,,,,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0007,7,Background / method / foundational,Not primary corpus,Background only,,2013,"Agrawal, G. P.",Nonlinear Fiber Optics (5th ed.),Academic Press.,,,,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,nonlinear coefficient / supercontinuum,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0008,8,Background / method / foundational,Not primary corpus,Background only,,1999,"Monro, T. M., et al.",Holey optical fibers: An efficient modal model,Journal of Lightwave Technology,17,6,1093-1102,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0009,9,Background / method / foundational,Not primary corpus,Background only,,2002,"Zhu, Z., & Brown, T. G.",Full-vectorial finite-difference analysis of microstructured optical fibers,Optics Express,10,17,853-864,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0010,10,Background / method / foundational,Not primary corpus,Background only,,2002,"Cucinotta, A., Selleri, S., Vincetti, L., & Zoboli, M.",Perturbation analysis of dispersion properties in photonic crystal fibers through the finite element method,Journal of Lightwave Technology,20,8,1433-1442,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,Optical communications / nonlinear optics,Background / non-AI / requires coding,chromatic/group velocity dispersion,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0011,11,Background / method / foundational,Not primary corpus,Background only,,2021,"Page, M. J., et al.",The PRISMA 2020 statement: An updated guideline for reporting systematic reviews,BMJ,372,,n71,10.1136/bmj.n71,https://www.bmj.com/content/372/bmj.n71,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Web verified: PRISMA/BMJ,
C0012,12,Background / method / foundational,Not primary corpus,Background only,,2009,"Moher, D., Liberati, A., Tetzlaff, J., Altman, D. G., & PRISMA Group.",Preferred reporting items for systematic reviews and meta-analyses: The PRISMA statement,PLOS Medicine,6,7,e1000097,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0013,13,Background / method / foundational,Not primary corpus,Background only,,2011,"Higgins, J. P. T., & Green, S. (Eds.).",Cochrane Handbook for Systematic Reviews of Interventions (Version 5.1.0),The Cochrane Collaboration.,,,,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0014,14,Background / method / foundational,Not primary corpus,Background only,,2004,"Kitchenham, B.",Procedures for performing systematic reviews,Keele University Technical Report TR/SE-0401.,,,,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0015,15,Background / method / foundational,Not primary corpus,Background only,,2015,"LeCun, Y., Bengio, Y., & Hinton, G.",Deep learning,Nature,521,7553,436-444,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,DNN / deep neural network,General PCF modeling / design,Deep learning,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0016,16,Background / method / foundational,Not primary corpus,Background only,,2016,"Goodfellow, I., Bengio, Y., & Courville, A.",Deep Learning,MIT Press.,,,,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,DNN / deep neural network,General PCF modeling / design,Deep learning,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0017,17,Background / method / foundational,Not primary corpus,Background only,,2014,"Goodfellow, I., et al.",Generative adversarial nets,Advances in Neural Information Processing Systems,27,,2672-2680,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,GAN / cGAN,General PCF modeling / design,Inverse / generative design,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0018,18,Background / method / foundational,Not primary corpus,Background only,,2013,"Kingma, D. P., & Welling, M.",Auto-encoding variational Bayes,arXiv preprint arXiv:1312.6114.,,,,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,VAE / beta-VAE / CVAE,General PCF modeling / design,Inverse / generative design,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0019,19,Background / method / foundational,Not primary corpus,Background only,,2020,"Ho, J., Jain, A., & Abbeel, P.",Denoising diffusion probabilistic models,Advances in Neural Information Processing Systems,33,,6840-6851,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,DDPM / diffusion / score-based,General PCF modeling / design,Inverse / generative design,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0020,20,Background / method / foundational,Not primary corpus,Background only,,2017,"Vaswani, A., et al.",Attention is all you need,Advances in Neural Information Processing Systems,30,,5998-6008,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Transformer / attention / ViT,General PCF modeling / design,Deep learning,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0021,21,Background / method / foundational,Not primary corpus,Background only,,2016,"He, K., Zhang, X., Ren, S., & Sun, J.",Deep residual learning for image recognition,Proceedings of the IEEE CVPR,,,770-778,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0022,22,Background / method / foundational,Not primary corpus,Background only,,1997,"Hochreiter, S., & Schmidhuber, J.",Long short-term memory,Neural Computation,9,8,1735-1780,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Background / non-AI / requires coding,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0023,23,Background / method / foundational,Not primary corpus,Background only,,2001,"Breiman, L.",Random forests,Machine Learning,45,1,5-32,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Random forest,General PCF modeling / design,Classical ML,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0024,24,Background / method / foundational,Not primary corpus,Background only,,2016,"Chen, T., & Guestrin, C.",XGBoost: A scalable tree boosting system,Proceedings of the 22nd ACM SIGKDD,,,785-794,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,XGBoost / gradient boosting / LightGBM,General PCF modeling / design,Classical ML,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
C0025,25,Background / method / foundational,Not primary corpus,Background only,,1995,"Cortes, C., & Vapnik, V.",Support-vector networks,Machine Learning,20,3,273-297,,,Manuscript reference list seed,Article/Proceedings/Book - verify,English - verify,Not explicit in title - full-text extraction needed,General PCF modeling / design,Inverse / generative design,Not explicit in title,,,,,,,,,,,,,,,,Manuscript seed only - DOI/publisher verification required,
